pdate,hour,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total,totalimei,totalimsi
2016-05-05,13,92,92,92,92,92,92,7,7,7
2016-05-05,14,88,88,88,88,88,88,45,45,45
2016-05-05,14,89,89,89,89,89,89,86,86,86
2016-05-05,14,90,90,90,90,90,90,165,165,165
2016-05-05,14,91,91,91,91,91,91,54,54,54
2016-05-05,14,92,92,92,92,92,92,9,9,9
2016-05-05,15,88,88,88,88,88,88,388,358,358
2016-05-05,15,89,89,89,89,89,89,728,706,706
2016-05-05,15,90,90,90,90,90,90,1167,1127,1127
2016-05-05,15,91,91,91,91,91,91,479,465,465
2016-05-05,15,92,92,92,92,92,92,91,86,86
2016-05-05,16,88,88,88,88,88,88,1997,1895,1895
2016-05-05,16,89,89,89,89,89,89,3904,3846,3846
2016-05-05,16,90,90,90,90,90,90,5778,5718,5718
2016-05-05,16,91,91,91,91,91,91,2250,2204,2204
2016-05-05,16,92,92,92,92,92,92,372,362,362
2016-05-05,17,88,88,88,88,88,88,462,446,446
2016-05-05,17,89,89,89,89,89,89,873,862,862
2016-05-05,17,90,90,90,90,90,90,1127,1125,1125
2016-05-05,17,91,91,91,91,91,91,446,441,441
2016-05-05,17,92,92,92,92,92,92,76,72,72
2016-05-05,18,88,88,88,88,88,88,580,554,554
2016-05-05,18,89,89,89,89,89,89,1064,1052,1052
2016-05-05,18,90,90,90,90,90,90,1251,1238,1238
2016-05-05,18,91,91,91,91,91,91,488,479,479
2016-05-05,18,92,92,92,92,92,92,81,79,79
2016-05-05,19,88,88,88,88,88,88,1745,1679,1679
2016-05-05,19,89,89,89,89,89,89,3036,3002,3002
2016-05-05,19,90,90,90,90,90,90,4091,4054,4054
2016-05-05,19,91,91,91,91,91,91,1692,1668,1668
2016-05-05,19,92,92,92,92,92,92,256,241,241
2016-05-05,20,88,88,88,88,88,88,2906,2785,2785
2016-05-05,20,89,89,89,89,89,89,5684,5597,5597
2016-05-05,20,90,90,90,90,90,90,7829,7752,7752
2016-05-05,20,91,91,91,91,91,91,3248,3208,3208
2016-05-05,20,92,92,92,92,92,92,504,476,476
2016-05-05,21,88,88,88,88,88,88,120,113,113
2016-05-05,21,89,89,89,89,89,89,231,230,230
2016-05-05,21,90,90,90,90,90,90,409,409,409
2016-05-05,21,91,91,91,91,91,91,139,139,139
2016-05-05,21,92,92,92,92,92,92,20,20,20
2016-05-05,23,88,88,88,88,88,88,10,8,8
2016-05-05,23,89,89,89,89,89,89,6,6,6
2016-05-05,23,90,90,90,90,90,90,4,4,4
2016-05-05,23,91,91,91,91,91,91,3,3,3
2016-05-05,23,92,92,92,92,92,92,1,1,1
2016-05-06,5,88,88,88,88,88,88,4,4,4
2016-05-06,5,89,89,89,89,89,89,4,4,4
2016-05-06,5,90,90,90,90,90,90,6,6,6
2016-05-06,5,91,91,91,91,91,91,4,4,4
2016-05-06,5,92,92,92,92,92,92,1,1,1
2016-05-06,6,88,88,88,88,88,88,902,841,841
2016-05-06,6,89,89,89,89,89,89,1647,1570,1570
2016-05-06,6,90,90,90,90,90,90,1652,1576,1576
2016-05-06,6,91,91,91,91,91,91,412,393,393
2016-05-06,6,92,92,92,92,92,92,54,47,47
2016-05-06,8,23,23,23,23,23,23,2,1,1
2016-05-06,8,88,88,88,88,88,88,514,491,491
2016-05-06,8,89,89,89,89,89,89,805,794,794
2016-05-06,8,90,90,90,90,90,90,1012,999,999
2016-05-06,8,91,91,91,91,91,91,327,322,322
2016-05-06,8,92,92,92,92,92,92,73,71,71
2016-05-06,9,88,88,88,88,88,88,1502,1355,1355
2016-05-06,9,89,89,89,89,89,89,2517,2337,2337
2016-05-06,9,90,90,90,90,90,90,2537,2400,2400
2016-05-06,9,91,91,91,91,91,91,822,773,773
2016-05-06,9,92,92,92,92,92,92,155,147,147
